area_construida,area_util,bairro,cep,condominio,data,descricao,id,municipio,n_quartos,preco,tipo,titulo,url,vagas_garagem 
,,Torre,58040-090,,2017-10-13,Kitchenette em excelente localização com sala cozinha americana com armários quarto suíte,238998792,João Pessoa,1,550,Aluguel - apartamento kitchenette,Esquina Flor de lis Kitchenette na torre em excelente localização,http://pb.olx.com.br/paraiba/imoveis/esquina-flor-de-lis-kitchenette-na-torre-em-excelente-localizacao-238998792,
,,Jardim São Paulo,58051-220,,2017-10-13,"alugo casa nos bancários,sala, dois quartos,cozinha, banheiro.Boa localização, por trás do carrefour.",401622141,João Pessoa,2,600,Aluguel - casa em rua pública,Alugar.,http://pb.olx.com.br/paraiba/imoveis/alugar-401622141,
960,,Alto do Mateus,58101-502,,2017-10-14,"Mauricio Amorim aluga para sua temporada de verão, essa bela casa na praia do poço.4 qtos sendo 3 suítes2 salasCozinhaÁrea de serviçoTerraçoGaragem JardimPiscinaChurrasqueiraDisponível para Dezembro, Fevereiro ou só carnaval. Preço a combinar!Agende já uma visita!Maiores informações83 - 9 9641 057083 - 9 8732 1009CRECI PB 7514F",401856277,João Pessoa,4,0,Aluguel - casa em rua pública,Casa para temporada na praia do poço,http://pb.olx.com.br/paraiba/imoveis/casa-para-temporada-na-praia-do-poco-401856277,2
,,Jardim Oceania,58037-545,,2017-10-14,excelente apartamento com 3 quartos sendo 2 suites com armários embutidos e cozinha projetada - piscina - elevador - salão de festas - posição nascente sul - próximo ao mar - com 2 vagas de garangem,401888374,João Pessoa,3,1900,Aluguel - apartamento padrão,Apartamento novo com armários embutidos,http://pb.olx.com.br/paraiba/imoveis/apartamento-novo-com-armarios-embutidos-401888374,2
,,Mangabeira,58058-000,,2017-10-14,"Temos alguns apartamentos nos bancários apartir de 500.00 reias , e vendas apartir de 120 mil. falar com Leopoldo 83 988652297 oi whatsapp",401899623,João Pessoa,2,500,Aluguel - apartamento padrão,Alugueis nos bancários,http://pb.olx.com.br/paraiba/imoveis/alugueis-nos-bancarios-401899623,
,78,Brisamar,58033-330,,2017-10-12,"aluga-se apartamento nos bancários com 78 metros quadrados cotendo 3 quartos, suite, móveis projetados na cozinha area de serviço e banheiros. Predio possui piscina, portaria. Rua calçada. Entrar em contato com Rossana: 83 98803-8495",401417141,João Pessoa,3,900,Aluguel - apartamento padrão,Apartamento aluguel bancários *oportunidade,http://pb.olx.com.br/paraiba/imoveis/apartamento-aluguel-bancarios-oportunidade-401417141,1
,350,Tambaú,58039-100,R$ 1300,2017-10-14,"Excelente apartamento para LOCAÇÃO em Tambaú, 1 por andar, área de 350m². O apto é composto de 1 suíte Master com closet, armários, hidromassagem e varanda, 2 suítes com armários e varandas, todos com ar condicionado. Sala grande, lavabo, WCs, cozinha com mesinha, armários e balcão com 2 pias em Inox, área de serviço também com armários e balcão com 2 pias de Inox, varal de estender roupas, dependência completa de empregada com armários e 3 vagas de garagem.Excelente localização, próximo a bancos, supermercados, Casas lotéricas, feirinha de artesanato, farmácias, bares e restaurantes e fácil acesso as praias, centro e UFPB.Qualquer dúvida, entre em contato: Plantão: Marcelo Escorel - Creci/Pb: 1690 (83) 98806-0705 (Oi)(83) 99984-2323 (Tim) (83) 99327-8772 (Claro)Imobiliária (83) 3247-6060 / 3247-1827(83) 98600-6060 (Oi)(83) 99981-6060 (Tim)(83) 99170-7209 (Claro) (83) 98159-2075 (Vivo)Obs. Importante:- Ao ligar, informe o Código do Imóvel desejado! Por Exemplo: Código: AP0141. - Esse Código é encontrados em todos os imóveis cadastrados em nosso site e isso facilitará sua localização agilizando o seu atendimento!Preços:- Aluguel: R$ 3.200,00- Condomínio: R$ 1.300,00",244015097,João Pessoa,3,3200,Aluguel - apartamento padrão,"Residencial Romagale, apartamento para LOCAÇÃO em Tambaú, 1 por andar, área de 350m²",http://pb.olx.com.br/paraiba/imoveis/residencial-romagale-apartamento-para-locacao-em-tambau-1-por-andar-area-de-350m-244015097,3
25,,Mandacaru,58028-010,,2017-10-14,Apt quarto sala cozinha e wc duvida manda um Zap 83-988857750,401862867,João Pessoa,1,300,Aluguel - casa em rua pública,Kitnet água luz interne incluso R$ 300,http://pb.olx.com.br/paraiba/imoveis/kitnet-agua-luz-interne-incluso-r-300-401862867,
,100,Aeroclube,58036-175,,2017-10-10,Apartamento excelente localização no Bessa próximo do superbox Brasil Pio 11 Academia Shopping igrejas ponto de ônibus com uma área de lazer com piscina e churrasqueira vagas de garagem cobertas . Apartamento mobiliado posição nascente sul com 3 quartos sendo 2 suítes saiba mais 83 98864-7410,400269835,João Pessoa,3,1300,Aluguel - apartamento padrão,"Apartamento para alugar, Aeroclube, João Pessoa, PB",http://pb.olx.com.br/paraiba/imoveis/apartamento-para-alugar-aeroclube-joao-pessoa-pb-400269835,1
,70,Tambaú,58039-230,,2017-10-10,"Grande oportunidade de apartamento para alugar com ótima localização no melhor do bairro Tambaú!- Área útil: 70,00m²- Quartos: 2- Suítes: 1- Garagens: 1- Salas: 1- Banheiros: 1Diferenciais:- Central de gás individualizada- Condomínio fechado- Elevador- Alarme- Circuito interno de TV- Guarita- Interfone- Portão eletrônico- Porteiro 24h- Academia de ginástica- Área de Lazer- Piscina adulto- Salão de festas- Acessibilidade- Acesso 24 horas- Antena Coletiva- Escola privada- Farmácia- Igreja- Mercado- Ponto de ônibus- Restaurante- Rua pavimentada",400269910,João Pessoa,2,1600,Aluguel - apartamento padrão,"Apartamento para alugar, Tambaú, João Pessoa, PB",http://pb.olx.com.br/paraiba/imoveis/apartamento-para-alugar-tambau-joao-pessoa-pb-400269910,1
,,Jaguaribe,58015-810,,2017-10-13,"alugo apartamentos para homens solteiros a partir de 250 , falar com Antônia pelo 83988923762, quartos com cama colchão e armário.",401611674,João Pessoa,,250,,Alugo apartamentos,http://pb.olx.com.br/paraiba/imoveis/alugo-apartamentos-401611674,
,,Jardim Oceania,58037-445,,2017-10-10,"Alugo Kitnet em Condomínio Térreo no Bessa. Próximo a tudo. Localização privilegiada.local familiar e seguro.Próximo da praia, de farmácias, supermercados, padarias etc.Localizado na Rua Pres. Arthur Bernardes- N.810Ponto de referência entre a Praça do caju e Integração do Bessa.TerraçoCozinha1 e 2 QuartosBanheiroSalaÁrea de ServiçoMais informações entrar em contato no 99315-4347 ou pelo Whatsapp",400275251,João Pessoa,2,400,Aluguel - apartamento kitchenette,Kitnet Térreo no Bessa Excelente Localização De 1 e 2 Quartos,http://pb.olx.com.br/paraiba/imoveis/kitnet-terreo-no-bessa-excelente-localizacao-de-1-e-2-quartos-400275251,
,,Jaguaribe,58015-810,,2017-10-10,Casa,400297199,João Pessoa,2,0,Aluguel - casa em rua pública,Alugar,http://pb.olx.com.br/paraiba/imoveis/alugar-400297199,
,72,Tambaú,58039-210,,2017-10-14,"um belo apartamento na área nobre Tambaú, salão festa,piscina e gás elevador e porteiro 24hs,três quartos sendo um suíte e varanda na sala",401921958,João Pessoa,3,1700,Aluguel - apartamento padrão,Aluguel,http://pb.olx.com.br/paraiba/imoveis/aluguel-401921958,1
,26,Estados,58030-020,,2017-10-10,"O Apt 101 do Residencial Tambau home flex tipo Studio com 26 metros e mobília completa(cama, geladeira, fogão, televisão, ar cond, talheres, etc). Valor de 1200 reais com condomínio incluso. CONTATO: 083 98656-0476Prédio com:*Piscina*Academia*Porteiro 24h",384202348,João Pessoa,1,1200,Aluguel - loft/studio,Alugo apartamento studio em Tambaú,http://pb.olx.com.br/paraiba/imoveis/alugo-apartamento-studio-em-tambau-384202348,1
,80,Gramame,58068-038,,2017-10-10,"apartamento com 2 quartos wc, todos ambientados, armarios novos ,ar split, cozinha com armarios novos, fogão vaga de garagem. proximo ao terminal de integracao Bessa.valor R$ 1000 condominio incluso",400316394,João Pessoa,2,1000,Aluguel - apartamento padrão,Apartamento Bessa,http://pb.olx.com.br/paraiba/imoveis/apartamento-bessa-400316394,1
,99,Manaíra,58038-060,R$ 574,2017-10-10,"Apartamento com ótima localização. Próximo a Mc Donalds, 100 mts da calçadinha de manaira.Valor total: 2.000 ( aluguel + Condominio)",400311714,João Pessoa,3,1500,Aluguel - apartamento padrão,Apartamento em Manaira 100 mts da praia,http://pb.olx.com.br/paraiba/imoveis/apartamento-em-manaira-100-mts-da-praia-400311714,1
,,Cristo Redentor,58070-540,,2017-10-10,"Alugo casa na Praia de Carapibus com 3 quartos sendo 1 suite, sala ampla, cozinha, banheiro social, terraço em L, e garagem",400272330,João Pessoa,3,400,Aluguel - casa em rua pública,Desfrute o feriado do dia das crianças no paraiso,http://pb.olx.com.br/paraiba/imoveis/desfrute-o-feriado-do-dia-das-criancas-no-paraiso-400272330,
,,Gramame,58069-485,,2017-10-13,"KITNET pra alugar em em colinas do Sul,um vão so, 5 / 5 metros , na cerâmica, pia ,lavanderia e banheiro dentro.água e luz incluso , só pra uma pessoa.300, 00 reais se for pra duas pessoas, luz por fora.Próximo a integração do COLINAS. zap 986160678",401581253,João Pessoa,,300,,KITNET aluga,http://pb.olx.com.br/paraiba/imoveis/kitnet-aluga-401581253,
,78,Bessa,58035-050,,2017-10-10,"Cód.893-Apartamento com 03 quartos, sendo 01 suíte, sala para dois ambientes, varanda, wc social, cozinha, área de serviço, 01 vaga de garagem.Edifício:revestimento externocentral de gásmedidor individual de águainterfoneportões automáticos",400366188,João Pessoa,3,1200,Aluguel - apartamento padrão,Apartamento c/03 quartos Mobiliado no Bessa,http://pb.olx.com.br/paraiba/imoveis/apartamento-c-03-quartos-mobiliado-no-bessa-400366188,1
,60,Jardim Cidade Universitária,58051-590,,2017-10-10,"Cod. do anuncio 1000Excelente Apartamentos no Bairro dos ColibrisApartamento com:2 quartos sendo 1 suíte, WC social, sala para dois ambientes, varanda, cozinha, área de serviço, 62m2 e uma vaga de garagem.Prédio com:3 pavimentos, água e energia com medidor individuais, portão automatizado, rua calçada , próximo ao Bem Mais Supermercado. VALOR DO ALUGUEL R$ 680,00CONDOMÍNIO INCLUSOINFORMAÇÕES LIGUE:RESIDENCE IMOBILIARIA LTDA... creci – 0367 - J(83) 98856-5130 3235-9000",400377256,João Pessoa,2,680,Aluguel - apartamento padrão,Apartamento no Bairro do Colibris,http://pb.olx.com.br/paraiba/imoveis/apartamento-no-bairro-do-colibris-400377256,1
,64,Funcionários Ii,58078-380,,2017-10-08,"proximo a padaria, supermercados, parada de ônibus, igreja, posto de gasolina etc. condomínio fechado, com 3 parquinhos para crianças, salão de festa, area de lazer com churrasqueira, uma vaga na garagem, quadra pra esporte, academia poliesportiva, portaria 24hrs, cerca elétrica, sistema de camera de segurança.apartamento primeiro andar, sala, cozinha, banheiro, 2 quartos sendo um suíte, área de serviço, interfone. com tudo completo!!!!condomínio jesus misericordioso cep 58088-770localizado a 15minutos da integração (percurso de ônibus)bairro de oitizeiro, jp pbfalar com valdir 98637-2970ligar ou mandar WhatsApp",399501613,João Pessoa,2,450,Aluguel - apartamento padrão,"Aluga-se apartamento 450,00",http://pb.olx.com.br/paraiba/imoveis/aluga-se-apartamento-450-00-399501613,1
68,,Mangabeira,58057-254,,2017-10-08,"Alugo casa contendo 2 quartos, terraço, sala, banheiro, cozinha e área de serviço.Gradeada, na cerâmica. Blindex no banheiro.Estacionamento para motos.Para ver, favor ligar para Sr. Florentino (98603-2633) que está com as chaves e mora próximo.A casa fica na Rua Catequista Marcina Maria do Espírito Santo Almeida, 16.Casa desocupada. àgua e luz não incluida.",399570744,João Pessoa,2,340,Aluguel - casa em rua pública,Casa em Mangabeira II,http://pb.olx.com.br/paraiba/imoveis/casa-em-mangabeira-ii-399570744,
,,Ernesto Geisel,58077-013,R$ 75,2017-10-13,"Localizado no Condomínio Fechado Residencial Araçá, Rua Praia mucuripe 389, apartamento101 bloco G terrio próximo a Granja dos Promotores, Água Fria_ Cuiá. Boa localização ônibus na porta. Telefone :83 98846-7402 99619-6493. R$ 550,00 condomínio já incluso",401597884,João Pessoa,2,550,Aluguel - apartamento padrão,"Apartamento em água fria, cuia - João pessoa PB",http://pb.olx.com.br/paraiba/imoveis/apartamento-em-agua-fria-cuia-joao-pessoa-pb-401597884,1
,,Torre,58040-020,R$ 0,2017-10-08,"Apartamento pra alugar na Torre:- Sala pra 2 ambientes- Cozinha ( Ármario Embutido )- Área de Serviço- 2 Quartos- 1 Dep. de empregada- 1 Banheiro social- 1 Vaga de Garagem- Segundo andar- Parada de Ônibus na frente do prédio- Valor: 1000,00 reais com condominio",399577470,João Pessoa,2,1000,Aluguel - apartamento padrão,Apartamento Pra Alugar Na Torre-JP,http://pb.olx.com.br/paraiba/imoveis/apartamento-pra-alugar-na-torre-jp-399577470,1
,,Bancários,58051-810,,2017-10-08,"casa contem sala,cozinha,wc social,quintal,2 quartos sendo um siute forrada toda na cerâmica. incluindo aguaPerto de padaria açougue psf supermercado parada de ónibus ambiente bem familiar",399574572,João Pessoa,2,0,Aluguel - casa em vila,Alugo casa nos bancários 350,http://pb.olx.com.br/paraiba/imoveis/alugo-casa-nos-bancarios-350-399574572,
,49,Muçumagro,58066-217,R$ 0,2017-10-08,"Lindo apartamento localizado na rua estudante Dalmo Belmont no muçumagro com dois quartos uma sala cozinha mais área de serviço WC social uma vaga de garagem com interfone sem taxa de Condominio a 200 metros do terminal de ônibus do 118 e a 200 metros da pb-008 que é de fácil acesso a várias praias, mais informações e Douglas WhatsApp 99419-7074",399585707,João Pessoa,2,300,Aluguel - apartamento padrão,Excelente apartamento r$: 300,http://pb.olx.com.br/paraiba/imoveis/excelente-apartamento-r-300-399585707,1
,53,Oitizeiro,58088-090,,2017-10-08,"1 - Agua, Gás e Condominio incluso no valor do aluguel.2 - Apartamento todo projetado.3 - 2 Quartos 4 - Banheiro reformado e com Box.5 - 2 vagas de garagem, até Agosto 2018 após essa data fica só 1 vaga.6 - Apartamento 3° andar.7 - Paredes toda revestida na cerâmica em todos os cômodos.Interessados ligar para:98820- 8610 (whats)98807- 3564 ( whats)",399596761,João Pessoa,2,900,Aluguel - apartamento padrão,Apartamento para Alugar no Condominio Parque Jacumã na principal de Cruz das Armas,http://pb.olx.com.br/paraiba/imoveis/apartamento-para-alugar-no-condominio-parque-jacuma-na-principal-de-cruz-das-armas-399596761,1
90,,Indústrias,58083-510,,2017-10-08,FICA 30 METROS DO SUPERMERCADO ARQUÁRIO E A 40 METRO DA SEGUNDA PARADA DE ÔNIBUS DEPOIS DO ARCO FICA 50 METROS DA FARMÁCIA E LABORATÓRIO ANALISE.,399651210,João Pessoa,3,600,Aluguel - casa em rua pública,"Casa, no bairro das industrias, 3 quarto",http://pb.olx.com.br/paraiba/imoveis/casa-no-bairro-das-industrias-3-quarto-399651210,1
,,Jardim Cidade Universitária,58052-220,,2017-10-13,"Alugo casa nos bancários, por tras do carrefour, terraço,sala, dois quartos, banheiro,cozinha.boa localização, perto da principal, passa ônibus na rua.",401612244,João Pessoa,2,600,Aluguel - casa em rua pública,"Alugo casa, Bancarios.",http://pb.olx.com.br/paraiba/imoveis/alugo-casa-bancarios-401612244,
,102,Jardim Oceania,58037-603,R$ 500,2017-10-08,"ALUGO apto no Residencial Canuma contendo 3 quartos sendo 2 suites uma com varanda, sala ampla com varanda, banheiro social, cozinha com area de serviço separada. Condominio possui piscina, academia, salão de festas, salão de jogos, sala de leitura, espaço kids, portaria 24 horas. Aceito financiamento. Valor para locação 2150,00 JÁ INCLUSO CONDOMINIO",399704792,João Pessoa,3,2100,Aluguel - apartamento padrão,Apartamento Bessa 3 qts 2 suites a 300m do mar,http://pb.olx.com.br/paraiba/imoveis/apartamento-bessa-3-qts-2-suites-a-300m-do-mar-399704792,1
160,,Jaguaribe,58015-750,,2017-10-08,Casa legada na ceramica mais dep duvida manda um Zap 83-988857750,399778285,João Pessoa,3,800,Aluguel - casa em rua pública,Casa 3 suítes jaguaribe R$ 800,http://pb.olx.com.br/paraiba/imoveis/casa-3-suites-jaguaribe-r-800-399778285,1
,40,Bessa,58035-010,,2017-10-09,"Apto mobiliado e equipado com eletros e utensílios de cozinha, com 01 quarto, sala, cozinha, área de serviço e wc social e 01 vaga de garagem. Prédio com elevador, piscina, salão de festas, portaria 24h. Já incluso o condomínio (com água e gás). CRECI: 3517-F",348654620,João Pessoa,1,1100,Aluguel - apartamento padrão,Apto mobiliado de 1 quarto no Bessa na beira mar,http://pb.olx.com.br/paraiba/imoveis/apto-mobiliado-de-1-quarto-no-bessa-na-beira-mar-348654620,1
,40,Tambaú,58039-050,,2017-10-08,"Alugo apto beira a mar do Cabo Branco, com mobília, sendo um quarto, sala, WC social, cozinha americana 083-998019755 (Whatsapp)083-988964407 OIDina Britto",399755169,João Pessoa,2,1600,Aluguel - apartamento padrão,Excelente apto beira mar do Cabo Branco,http://pb.olx.com.br/paraiba/imoveis/excelente-apto-beira-mar-do-cabo-branco-399755169,1
,25,Mandacaru,58028-010,,2017-10-08,Apt com segurança ambiente familiar na Ceramica água luz Internet duvida manda um Zap 988857750,399779239,João Pessoa,1,300,Aluguel - apartamento kitchenette,Kitnet Mandacaru água luz internet R$ 300,http://pb.olx.com.br/paraiba/imoveis/kitnet-mandacaru-agua-luz-internet-r-300-399779239,
,,Paratibe,58062-022,,2017-10-08,"sala,cozinha,1 banheiro,2 quatros e área de serviço.garagem apenas para moto.Telefone para contato:(83)987703564",399733421,João Pessoa,2,400,Aluguel - casa em rua pública,Casa para alugar,http://pb.olx.com.br/paraiba/imoveis/casa-para-alugar-399733421,
,77,Jardim Cidade Universitária,58052-520,R$ 0,2017-10-09,"Excelente apartamento 3 quartos sendo uma Suite com 77 m2 . Condomínio e Água Incluso. Perto do GEO SUL , Extra Supermercado e Banco do BRASIL.Contato. Antonio Sobrinho. OI 98727 5158 (ZAP) CRECI 8285-F TIM 99651 1305",399827201,João Pessoa,3,1000,Aluguel - apartamento padrão,Excelente apartamento Jardim Cidade Universitária 200 mts da Principal,http://pb.olx.com.br/paraiba/imoveis/excelente-apartamento-jardim-cidade-universitaria-200-mts-da-principal-399827201,1
305,,Portal do Sol,58046-527,R$ 515,2017-10-08,"Casa em condomínio horizontal, bem conservada, posição leste-sul, 4 quartos, sendo: 1 suíte master, com com banheira de hidromassagem, 2 suítes padrão + 1 quarto; sala ampla para 2 ambientes, sala de TV, cozinha americana, despensa, varandas excelente área de lazer no condomínio, contendo brinquedoteca, salão de jogos, academia, salão de festas, quadra poliesportiva e de squash, churrasqueira e piscinas. (Obs: o valor descrito já inclui o condomínio)",399527189,João Pessoa,4,4000,Aluguel - casa em condominio fechado,"Casa no Condomínio Bougainville, 4 quartos",http://pb.olx.com.br/paraiba/imoveis/casa-no-condominio-bougainville-4-quartos-399527189,2
,,José Américo De Almeida,58074-076,,2017-10-09,Apartamento no Cristo 2 quartos sendo uma suíte cozinha mobiliada banheiros com box de vidros e espelhos e armários projetadosApartamento no térreo com área privativa em LMaiores informações Falar com André Lima (83)98670-4489cresce 6828,399867873,João Pessoa,2,850,Aluguel - apartamento padrão,Apartamento no Cristo para Alugar,http://pb.olx.com.br/paraiba/imoveis/apartamento-no-cristo-para-alugar-399867873,1
,60,Cabo Branco,58045-170,,2017-10-09,"Excelente oportunidade em Cabo Branco, 250 m do mar. Todo mobiliado e ambientado, 02 quartos sendo 01 suite, sala, cozinha, porteiro 24 horas, área de lazer completa com piscina e espaço gourmet.",399844735,João Pessoa,2,2000,Aluguel - apartamento padrão,Oportunidade em Cabo Branco com vista permanente ao mar,http://pb.olx.com.br/paraiba/imoveis/oportunidade-em-cabo-branco-com-vista-permanente-ao-mar-399844735,1
,70,Bessa,58035-050,R$ 0,2017-10-05,tenho aptos para alugar apatir de 650reais de 1200reai de 2200reais . para todos os gosto e só mim ligar tenho o que você procura não pedimos fiador no Bessa e Jardim luna,398710390,João Pessoa,2,0,Aluguel - apartamento padrão,Alugo aptos,http://pb.olx.com.br/paraiba/imoveis/alugo-aptos-398710390,2
,84,Jardim Cidade Universitária,58051-620,R$ 1,2017-10-05,alugo AP nos bancario proximo cal roger. primeiro andar garagem coberta. Cerca eletrica portão eletrico três quartos dois banheiros varanda cosinha com armario fogão leb top otimo. ap trada com dono. nesse numero. 986039253 falar com jean,398721520,João Pessoa,3,900,Aluguel - apartamento padrão,Alugo ap nos bancario.,http://pb.olx.com.br/paraiba/imoveis/alugo-ap-nos-bancario-398721520,3
,50,Gramame,58067-314,R$ 0,2017-10-06,2 quartos1 sala1 cozinha americana1 area de serviço1 vaga de garagem água e condominio incluso,398761890,João Pessoa,2,350,Aluguel - apartamento padrão,"Alugo apartamento , residencial Dubai - Gramame/Parque do sol",http://pb.olx.com.br/paraiba/imoveis/alugo-apartamento-residencial-dubai-gramame-parque-do-sol-398761890,1
,,Jardim Cidade Universitária,58052-569,,2017-10-06,"Rua paralela à da caixa d'agua! Orlando Pereira de Brito. Casa com 3 quartos sendo 1 suíte. banheiro social, cozinha, 2 salas, área de serviço com canis. Toda gradeada, portão de alumínio. Vaga para 2 carros",398785151,João Pessoa,3,750,Aluguel - casa em rua pública,Alugo casa no Cristo!,http://pb.olx.com.br/paraiba/imoveis/alugo-casa-no-cristo-398785151,
,72,Alto do Mateus,58091-250,,2017-10-10,"Com suíte, constituída de sala, cozinha, WCB social, quarto, área de serviço, varanda e 01 (uma) vaga de garagem, com piscina, churrasqueira, 2º andar, Condomínio Residencial Pátio das Palmeiras.PREÇO JÁ INCLUSO O CONDOMÍNIO!",400343998,João Pessoa,2,600,Aluguel - apartamento padrão,Apartamento Próximo do centro,http://pb.olx.com.br/paraiba/imoveis/apartamento-proximo-do-centro-400343998,1
240,,Castelo Branco,58050-120,,2017-10-09,"uma ótima casa, contendo 5 quartos, 2 salas, cozinha, 4 banheiros, 1 lavabo, área de serviço, garagem para 2 veículos, piscina com espaço de lazer, varanda no piso superior e área de serviço e dispensa",400128394,João Pessoa,5 ou mais,4000,Aluguel - casa em rua pública,Aluguel,http://pb.olx.com.br/paraiba/imoveis/aluguel-400128394,2
,,Funcionários Ii,58078-010,,2017-10-06,"Ótimo apartamento no Funcionários 2, bem localizado! O MELHOR DA REGIÃO! Mais porque o melhor da região? Te darei 5 motivos para essa classificação! 1 - Próxima a supermercado, padaria, Farmacia, parada de ônibus e a feira do grotão. 2 - O prédio todo é revestido. 3 - O apartamento é todo pintado com tinta lavável de primeira linha. 4 - Os dois banheiros possuem blindex, pias de granito, espelho e todo os acessórios para toalhas e etc. 5 - Muito seguro, pois possui 3 grades para acesso. -O apartamento é frente nascente/Sul dividido em 1 - sala 1 - cozinha americana1 - área de serviço 2 - quartos (sendo um suite)1 - Wc Social Possui 1 vaga de garagem coberta e fechada.Valor do aluguelR$ 600Tratar com Henrique Telefones: 83 98826-5844 83 99610-9611",398755370,João Pessoa,2,600,Aluguel - apartamento padrão,Ótimo apartamento p/ alugar no Funcionários 2,http://pb.olx.com.br/paraiba/imoveis/otimo-apartamento-p-alugar-no-funcionarios-2-398755370,1
,100,Tambaú,58039-190,,2017-10-06,"Imóvel com excelente padrão de qualidade, 3 quartos sendo 1 suíte (com closet), todos com guarda-roupas, WC social, Cozinha Ampla, com armários, área de serviço com DESPENSA.AREA DE LAZER COMPLETA, piscina, deck, salão de jogos, festas, gás encanado, porteiro 24hs, 2 elevadores, 1 VAGA na garagemR$1.800 com CONDOMÍNIO INCLUSOAGENDE SUA VISITA:ROSE JUBERT /CRECI 076998700-2769 (oi)9997-45923 (Tim)988600831( whatsapp)",398821361,João Pessoa,3,1800,Aluguel - apartamento padrão,"Tambau - EXCELENTE APARTAMENTO 3 qts, estrutura de qualidade",http://pb.olx.com.br/paraiba/imoveis/tambau-excelente-apartamento-3-qts-estrutura-de-qualidade-398821361,1
,,Jaguaribe,58015-630,,2017-10-06,"casa em jaguaribe com 3 quartos sendo 1 suíte, sala, terraço, cozinha, área de serviço, wc social e DCE",243650610,João Pessoa,3,1000,Aluguel - casa em rua pública,Casa com 3 quartos em excelente localização em jaguaribe,http://pb.olx.com.br/paraiba/imoveis/casa-com-3-quartos-em-excelente-localizacao-em-jaguaribe-243650610,3
,53,Ernesto Geisel,58077-085,,2017-10-06,"excelente apartamento térreo com 2 quartos sendo 1 suíte, sala ampla em L com varanda, cozinha, wc social, área privativa e 1 vaga de garagem.",315764354,João Pessoa,2,600,Aluguel - apartamento padrão,Res. Vale verde Apartamento no cuiá,http://pb.olx.com.br/paraiba/imoveis/res-vale-verde-apartamento-no-cuia-315764354,1
240,,Ponta do Seixas,58045-670,R$ 540,2017-10-06,"Casa com 6 quartos, sala, cozinha americana, área de serviço, ampla área de lazer . Local tranquilo com muito verde e um mar para desfrutar.Veraneio ( dezembro - janeiro - fevereiro ) por R$ 7.000,00",398852995,João Pessoa,5 ou mais,2000,Aluguel - casa em condominio fechado,Por temporada casa em Condomínio Fechado enfrente ao mar,http://pb.olx.com.br/paraiba/imoveis/por-temporada-casa-em-condominio-fechado-enfrente-ao-mar-398852995,2
626,,Centro,58013-520,,2017-10-03,"Casa para fins comerciais localizada na esquina vasco da gama/joão machado.Excelente ponto para agência de auto /farmácias,etc",397775489,João Pessoa,3,21000,Aluguel - casa em rua pública,Casa comercial,http://pb.olx.com.br/paraiba/imoveis/casa-comercial-397775489,20
,,Bancários,58051-790,,2017-10-06,"Alugo apartamento térreo 3 quartos sendo um suite, cozinha e quarto do casal projetado.Todo gradeado e com área útil. Predio com sistema de câmeras pelo celular",398814380,João Pessoa,3,0,Aluguel - apartamento padrão,Apartamento aluguel,http://pb.olx.com.br/paraiba/imoveis/apartamento-aluguel-398814380,1
,86,Cabo Branco,58045-320,,2017-10-08,"Disponível para temporada aptos 3 quartos sendo duas suítes, mobiliados com TV a cabo e internet acomodação para até 10 pessoas. Prédio com portaria 24 hrs elevador 2 vagas de garagem, área de lazer com piscina na cobertura . Localizado a 50 metros da praia de cabo branco, próximo ao bar do cuscuz e fundação José Américo.Diária apartir de 120 para o mínimo de 5 diárias. abaixo de 5 diárias valor cobrado por pessoa. FIM DE SEMANA, FERIADOS NATAL , RÉVEILLON, CARNAVAL E JANEIRO, VALOR SOBRE CONSULTA.maiores informações whatzapp 83 9 99660919",399700369,João Pessoa,3,130,Aluguel - apartamento padrão,Hospedagem em Cabo Branco,http://pb.olx.com.br/paraiba/imoveis/hospedagem-em-cabo-branco-399700369,2
,120,Jardim Oceania,58037-545,,2017-10-03,"apartamento com 3 quartos sendo 2 suites, sala para 2 ambientes, DCE, cozinha com área de serviço, Edifício novo, com piscina, elevador, salão de festas, jogos e academia, posição sul/nascente, próximo ao mar.",397790984,João Pessoa,3,1600,Aluguel - apartamento padrão,Apartamento novo com 3 quartos sendo 2 suites,http://pb.olx.com.br/paraiba/imoveis/apartamento-novo-com-3-quartos-sendo-2-suites-397790984,2
,,Planalto Boa Esperança,58065-066,,2017-10-03,Apartamento no bairro do Valentina ao lado do novo DETRAN Apartamento térreo 1 sala 1 varanda 1 cozinha2 quartos (sendo 1 suíte)2 banheiros (1 social e 1 no quarto)Obs: O apartamento já está com grades.condomínio incluso,397824946,João Pessoa,2,550,Aluguel - apartamento padrão,Alugo apartamento no bairro do Valentina,http://pb.olx.com.br/paraiba/imoveis/alugo-apartamento-no-bairro-do-valentina-397824946,1
,,Paratibe,58062-285,R$ 0,2017-10-03,"Aluga- se uma casa ( fica no 1 andar) com vidros na frente e laterais,bem organizada, aconchegante, fácil acesso, próximo a paradas de ônibus , supermercados, farmácia, pizzaria etcOBS: FICA EM NOVA MANGABEIRA/ JOÃO PESSOAProprietário: Aderaldo Telefone: 988992116AGENDE SUA VISITA!Menor valor : 500,00",397857458,João Pessoa,1,500,Aluguel - apartamento padrão,Casa,http://pb.olx.com.br/paraiba/imoveis/casa-397857458,1
